video_id,titulo,video_duration_s,category,que_pasa,total_views,total_likes,like_rate,total_comments,comment_rate,suscriptores_ganados,subscription_rate,avg_watch_percent,avg_watch_time_s,veces_recomendado,total_clics,click_through_rate
80,,2762,Gaming,,23,13,0.5652,1,0.0435,0,0.0,0.7205,1295.83,10,6,0.6
81,,3455,Lifestyle,,23,6,0.2609,0,0.0,3,0.1304,0.6431,1231.96,9,5,0.5556
82,,669,News,,25,8,0.32,1,0.04,1,0.04,0.7817,1163.28,5,6,1.2
83,,1976,Gaming,,16,4,0.25,3,0.1875,1,0.0625,0.6612,1187.94,7,1,0.1429
84,,3339,Sports,,13,9,0.6923,4,0.3077,2,0.1538,0.8147,1201.38,1,5,5.0
85,,2557,Comedy,,18,4,0.2222,3,0.1667,0,0.0,0.561,1235.17,8,9,1.125
86,,913,Gaming,,17,3,0.1765,1,0.0588,0,0.0,0.8748,1290.35,9,6,0.6667
87,,3571,Comedy,,15,7,0.4667,1,0.0667,2,0.1333,0.7365,1028.0,3,4,1.3333
88,,2145,Tech,,19,6,0.3158,0,0.0,2,0.1053,0.7099,1613.47,7,7,1.0
89,,3280,Gaming,,19,7,0.3684,0,0.0,0,0.0,0.6526,1004.0,10,8,0.8
90,,1716,Lifestyle,,17,6,0.3529,1,0.0588,1,0.0588,0.6794,1108.82,8,8,1.0
91,,1090,Education,,14,3,0.2143,0,0.0,0,0.0,0.6748,918.21,11,3,0.2727
92,,1292,Gaming,,12,4,0.3333,1,0.0833,0,0.0,0.6702,1195.92,4,3,0.75
93,,527,Comedy,,17,9,0.5294,0,0.0,2,0.1176,0.9347,1356.18,7,4,0.5714
94,,2011,News,,22,9,0.4091,5,0.2273,1,0.0455,0.7473,1299.68,9,7,0.7778
95,,1468,Tech,,20,6,0.3,4,0.2,0,0.0,0.6922,1089.05,11,5,0.4545
96,,1397,Lifestyle,,21,3,0.1429,2,0.0952,2,0.0952,0.7022,1316.24,11,5,0.4545
97,,1618,Sports,,17,6,0.3529,0,0.0,1,0.0588,0.7192,1277.71,8,6,0.75
98,,1087,Education,,14,3,0.2143,0,0.0,1,0.0714,0.879,1451.57,5,4,0.8
99,,2065,Comedy,,26,6,0.2308,1,0.0385,1,0.0385,0.769,1118.46,9,5,0.5556
100,,530,Sports,,23,8,0.3478,3,0.1304,2,0.087,0.8534,1193.3,10,8,0.8
101,,2924,Music,,18,4,0.2222,0,0.0,1,0.0556,0.8156,1845.44,4,6,1.5
102,,601,Sports,,22,5,0.2273,3,0.1364,0,0.0,0.7669,1383.59,9,9,1.0
103,,789,Music,,23,4,0.1739,3,0.1304,1,0.0435,1.1282,1464.52,11,7,0.6364
104,,2651,Gaming,,22,7,0.3182,1,0.0455,1,0.0455,0.7004,1263.77,10,6,0.6
105,,264,Gaming,,32,7,0.2188,4,0.125,1,0.0312,0.8091,1382.84,13,12,0.9231
106,,973,Education,,21,9,0.4286,4,0.1905,0,0.0,0.8134,1086.1,9,7,0.7778
107,,2229,Comedy,,24,12,0.5,1,0.0417,0,0.0,0.7365,1194.96,12,11,0.9167
108,,3462,Sports,,20,3,0.15,2,0.1,2,0.1,0.7238,1331.05,5,6,1.2
109,,2797,Comedy,,22,6,0.2727,1,0.0455,2,0.0909,0.8414,1008.18,10,9,0.9
110,,1061,Comedy,,13,5,0.3846,0,0.0,0,0.0,0.7357,885.23,8,5,0.625
111,,1867,News,,17,7,0.4118,1,0.0588,0,0.0,0.7555,1240.41,6,7,1.1667
112,,1762,Music,,16,6,0.375,1,0.0625,1,0.0625,0.8585,1329.38,4,6,1.5
113,,1522,Education,,18,6,0.3333,0,0.0,0,0.0,0.6579,1083.61,7,6,0.8571
114,,3331,Tech,,20,7,0.35,3,0.15,2,0.1,0.7013,1060.5,10,6,0.6
115,,520,Music,,18,1,0.0556,2,0.1111,1,0.0556,0.702,1273.89,10,7,0.7
116,,993,Comedy,,21,8,0.381,3,0.1429,1,0.0476,0.7193,1109.19,7,5,0.7143
117,,265,Lifestyle,,16,6,0.375,2,0.125,0,0.0,0.7629,874.12,7,2,0.2857
118,,2728,Sports,,32,11,0.3438,5,0.1562,1,0.0312,0.7886,1202.78,7,8,1.1429
119,,32,Education,,24,10,0.4167,3,0.125,1,0.0417,0.7786,1343.33,11,9,0.8182
120,,3141,Tech,,25,7,0.28,0,0.0,2,0.08,0.8854,1264.68,10,6,0.6
121,,3185,Music,,8,3,0.375,0,0.0,0,0.0,0.6687,686.75,5,2,0.4
122,,983,Music,,18,7,0.3889,1,0.0556,3,0.1667,0.6396,1244.33,11,10,0.9091
123,,3073,Gaming,,20,11,0.55,1,0.05,0,0.0,0.7729,1264.35,6,4,0.6667
124,,2716,Tech,,12,3,0.25,0,0.0,2,0.1667,0.7262,1389.58,6,2,0.3333
125,,2965,Sports,,17,3,0.1765,3,0.1765,3,0.1765,0.7335,1345.18,5,7,1.4
126,,1558,Comedy,,19,8,0.4211,1,0.0526,1,0.0526,0.8378,1072.05,8,7,0.875
127,,2387,Gaming,,17,6,0.3529,1,0.0588,1,0.0588,0.7323,955.59,10,4,0.4
128,,184,Comedy,,19,5,0.2632,1,0.0526,0,0.0,0.6864,1248.74,8,6,0.75
129,,3551,Education,,20,5,0.25,1,0.05,3,0.15,0.7889,1221.5,5,4,0.8
130,,2215,Music,,16,6,0.375,2,0.125,0,0.0,0.8009,1236.94,8,2,0.25
131,,2054,Tech,,22,9,0.4091,0,0.0,0,0.0,0.8261,1284.36,7,11,1.5714
132,,724,Education,,23,9,0.3913,2,0.087,1,0.0435,0.7768,1284.65,8,9,1.125
133,,659,Education,,20,8,0.4,2,0.1,1,0.05,0.6708,1259.75,5,4,0.8
134,,467,Gaming,,25,7,0.28,3,0.12,1,0.04,0.6028,737.88,9,8,0.8889
135,,3355,Gaming,,23,6,0.2609,3,0.1304,0,0.0,0.7249,1396.7,4,8,2.0
136,,1684,Education,,24,12,0.5,3,0.125,1,0.0417,0.6372,976.75,9,8,0.8889
137,,3072,Comedy,,13,3,0.2308,0,0.0,0,0.0,0.7731,1027.08,10,9,0.9
138,,2417,Sports,,17,3,0.1765,1,0.0588,0,0.0,0.9095,1369.0,6,6,1.0
139,,2376,Music,,19,8,0.4211,3,0.1579,0,0.0,0.8941,1519.58,6,5,0.8333
140,,3223,Education,,29,6,0.2069,0,0.0,2,0.069,0.7748,1151.59,14,5,0.3571
141,,3540,Music,,23,4,0.1739,1,0.0435,1,0.0435,0.7133,1255.35,10,8,0.8
142,,2114,Lifestyle,,15,6,0.4,2,0.1333,1,0.0667,0.7811,779.93,3,4,1.3333
143,,1379,Gaming,,19,5,0.2632,3,0.1579,0,0.0,0.6276,1131.68,8,5,0.625
144,,2339,Tech,,19,6,0.3158,3,0.1579,1,0.0526,3.0105,1229.37,9,7,0.7778
145,,1802,News,,20,6,0.3,0,0.0,0,0.0,0.7284,1207.5,4,10,2.5
146,,111,Gaming,,23,9,0.3913,2,0.087,0,0.0,0.8191,1154.52,10,7,0.7
147,,361,Lifestyle,,19,8,0.4211,2,0.1053,1,0.0526,0.6933,1142.37,10,6,0.6
148,,1191,Gaming,,14,3,0.2143,2,0.1429,0,0.0,0.7414,1309.21,6,3,0.5
149,,786,Lifestyle,,15,5,0.3333,0,0.0,0,0.0,0.7846,1491.4,4,9,2.25
150,,1730,Lifestyle,,18,4,0.2222,2,0.1111,1,0.0556,0.7288,1265.83,8,3,0.375
151,,254,News,,25,9,0.36,2,0.08,0,0.0,0.6386,987.24,7,9,1.2857
152,,1152,News,,28,5,0.1786,4,0.1429,2,0.0714,0.7114,1203.79,8,12,1.5
153,,3320,Comedy,,12,3,0.25,1,0.0833,1,0.0833,0.689,1488.25,6,3,0.5
154,,1019,Music,,19,4,0.2105,2,0.1053,2,0.1053,0.8881,1591.63,5,7,1.4
155,,1929,Education,,23,9,0.3913,2,0.087,0,0.0,0.7714,1184.83,7,5,0.7143
156,,1881,Education,,18,7,0.3889,1,0.0556,2,0.1111,0.8814,1370.56,9,4,0.4444
157,,1352,Gaming,,18,4,0.2222,3,0.1667,3,0.1667,0.8861,1090.78,11,6,0.5455
158,,3496,Tech,,25,8,0.32,8,0.32,0,0.0,0.7023,1388.76,11,9,0.8182
159,,1112,Education,,28,11,0.3929,1,0.0357,2,0.0714,0.7196,1160.18,12,9,0.75
160,,260,Music,,16,7,0.4375,2,0.125,0,0.0,0.7543,913.75,6,3,0.5
161,,3373,Comedy,,14,4,0.2857,5,0.3571,2,0.1429,0.7753,1257.71,7,5,0.7143
162,,814,Lifestyle,,17,5,0.2941,1,0.0588,0,0.0,0.689,1132.94,5,3,0.6
163,,3276,Comedy,,13,0,0.0,2,0.1538,1,0.0769,0.8056,1384.92,4,6,1.5
164,,1815,Comedy,,16,6,0.375,1,0.0625,0,0.0,0.8158,1326.0,5,7,1.4
165,,2711,Education,,20,8,0.4,2,0.1,0,0.0,0.6158,1401.35,9,7,0.7778
166,,2637,News,,24,4,0.1667,1,0.0417,1,0.0417,0.8408,1221.42,9,10,1.1111
167,,2708,Gaming,,16,6,0.375,2,0.125,1,0.0625,0.5888,930.81,7,4,0.5714
168,,1428,Gaming,,25,7,0.28,3,0.12,1,0.04,0.8124,1838.68,11,5,0.4545
169,,3426,Lifestyle,,15,3,0.2,2,0.1333,0,0.0,0.6153,1048.33,3,4,1.3333
170,,1211,Education,,17,4,0.2353,2,0.1176,0,0.0,0.8067,1475.82,7,1,0.1429
171,,1311,Gaming,,26,11,0.4231,2,0.0769,0,0.0,0.7515,1037.65,9,11,1.2222
172,,2343,Lifestyle,,24,7,0.2917,1,0.0417,1,0.0417,0.8137,1149.33,13,6,0.4615
173,,1557,Comedy,,21,4,0.1905,1,0.0476,2,0.0952,0.6511,1069.33,9,3,0.3333
174,,1822,Education,,19,8,0.4211,2,0.1053,2,0.1053,0.7308,1246.0,8,8,1.0
175,,241,News,,25,6,0.24,2,0.08,1,0.04,0.787,1071.72,8,6,0.75
176,,954,Music,,18,4,0.2222,3,0.1667,1,0.0556,0.8405,1271.67,3,5,1.6667
177,,1409,Gaming,,16,7,0.4375,0,0.0,0,0.0,0.6685,1404.0,9,4,0.4444
178,,220,Sports,,16,4,0.25,2,0.125,0,0.0,0.659,782.94,5,2,0.4
179,,3241,Lifestyle,,21,4,0.1905,0,0.0,1,0.0476,0.7174,947.48,6,5,0.8333
180,,2762,Lifestyle,,29,9,0.3103,3,0.1034,0,0.0,0.79,1388.66,9,9,1.0
181,,3340,Lifestyle,,25,4,0.16,2,0.08,1,0.04,0.7874,1251.0,10,7,0.7
182,,760,Lifestyle,,20,4,0.2,1,0.05,0,0.0,0.677,1125.15,7,3,0.4286
183,,36,Comedy,,18,6,0.3333,1,0.0556,1,0.0556,0.7738,1021.72,10,3,0.3
184,,401,Comedy,,20,9,0.45,0,0.0,0,0.0,0.6857,1203.65,7,7,1.0
185,,2786,Tech,,20,4,0.2,0,0.0,2,0.1,0.7667,6700.4,7,12,1.7143
186,,714,Music,,21,8,0.381,3,0.1429,1,0.0476,inf,1523.24,11,4,0.3636
187,,860,Tech,,22,7,0.3182,4,0.1818,0,0.0,0.6417,1428.68,5,8,1.6
188,,708,Comedy,,20,9,0.45,1,0.05,0,0.0,0.7945,1329.65,5,4,0.8
189,,3097,Sports,,23,9,0.3913,1,0.0435,0,0.0,0.7226,1360.78,6,8,1.3333
190,,2126,Gaming,,18,6,0.3333,1,0.0556,0,0.0,0.7614,1489.11,6,3,0.5
191,,3023,Music,,23,12,0.5217,5,0.2174,1,0.0435,0.7709,1236.91,11,11,1.0
192,,2160,Comedy,,29,6,0.2069,5,0.1724,2,0.069,0.8055,1163.48,16,9,0.5625
193,,778,Gaming,,16,6,0.375,2,0.125,2,0.125,0.8227,1343.62,5,1,0.2
194,,602,Comedy,,20,10,0.5,2,0.1,1,0.05,0.6918,1068.7,7,6,0.8571
195,,1821,Lifestyle,,19,6,0.3158,3,0.1579,1,0.0526,0.6768,1236.95,9,4,0.4444
196,,1764,Education,,14,5,0.3571,0,0.0,0,0.0,0.8209,1233.79,6,3,0.5
197,,149,Music,,20,6,0.3,3,0.15,1,0.05,0.862,1377.9,4,6,1.5
198,,1030,Music,,18,4,0.2222,1,0.0556,0,0.0,0.6383,936.67,9,3,0.3333
199,,555,Music,,19,9,0.4737,0,0.0,0,0.0,0.7552,6575.84,9,5,0.5556
200,,3317,Gaming,,17,4,0.2353,2,0.1176,1,0.0588,0.8537,1652.53,4,9,2.25
201,,2299,News,,18,3,0.1667,2,0.1111,2,0.1111,0.6928,1365.22,8,6,0.75
202,,1968,Gaming,,18,7,0.3889,1,0.0556,2,0.1111,0.8367,1226.06,9,5,0.5556
203,,1076,Lifestyle,,25,7,0.28,3,0.12,2,0.08,0.8535,1187.76,9,9,1.0
204,,3249,Gaming,,22,8,0.3636,0,0.0,3,0.1364,0.7761,1301.36,7,4,0.5714
205,,1750,News,,22,6,0.2727,1,0.0455,2,0.0909,0.8451,1106.18,8,4,0.5
206,,3244,Gaming,,21,6,0.2857,1,0.0476,2,0.0952,0.7296,1284.67,10,5,0.5
207,,2340,Music,,22,6,0.2727,1,0.0455,2,0.0909,0.8333,1178.59,9,5,0.5556
208,,1455,Education,,15,6,0.4,1,0.0667,0,0.0,0.6911,1321.87,7,4,0.5714
209,,1194,Education,,14,4,0.2857,0,0.0,0,0.0,0.9377,1916.0,6,4,0.6667
210,,2633,Music,,19,6,0.3158,3,0.1579,1,0.0526,0.8834,1578.89,8,5,0.625
211,,2447,Lifestyle,,26,8,0.3077,4,0.1538,2,0.0769,0.7293,1408.31,13,12,0.9231
212,,1626,Comedy,,20,8,0.4,2,0.1,0,0.0,0.7712,779.95,10,7,0.7
213,,2752,Tech,,16,6,0.375,3,0.1875,0,0.0,0.6337,1190.56,7,5,0.7143
214,,2393,Education,,24,8,0.3333,3,0.125,1,0.0417,0.7932,1401.12,7,10,1.4286
215,,1601,Gaming,,20,8,0.4,2,0.1,1,0.05,0.7601,1284.75,8,9,1.125
216,,240,News,,18,6,0.3333,1,0.0556,0,0.0,0.7239,1339.72,7,3,0.4286
217,,1290,Gaming,,20,9,0.45,0,0.0,0,0.0,0.7517,1177.7,5,8,1.6
218,,3393,Gaming,,29,7,0.2414,5,0.1724,0,0.0,0.6721,1178.83,11,13,1.1818
219,,1568,Sports,,22,5,0.2273,1,0.0455,0,0.0,0.6807,1285.09,6,8,1.3333
220,,298,Comedy,,13,4,0.3077,4,0.3077,0,0.0,0.7334,964.69,4,5,1.25
221,,3527,Lifestyle,,33,10,0.303,3,0.0909,2,0.0606,0.6636,965.64,15,12,0.8
222,,3547,Lifestyle,,25,12,0.48,2,0.08,0,0.0,0.7263,1341.84,8,11,1.375
223,,3261,News,,19,8,0.4211,2,0.1053,1,0.0526,0.7364,1252.53,10,5,0.5
224,,1390,Lifestyle,,23,6,0.2609,4,0.1739,2,0.087,0.8174,1117.91,11,6,0.5455
225,,2643,Education,,19,4,0.2105,3,0.1579,1,0.0526,0.7806,6481.53,6,8,1.3333
226,,606,News,,22,7,0.3182,5,0.2273,1,0.0455,0.8409,1211.73,10,5,0.5
227,,2032,Education,,29,8,0.2759,5,0.1724,1,0.0345,0.7793,1085.14,9,15,1.6667
228,,3164,Sports,,22,5,0.2273,5,0.2273,0,0.0,0.7673,1391.18,10,5,0.5
229,,1567,News,,27,10,0.3704,3,0.1111,0,0.0,0.6934,1121.07,11,10,0.9091
230,,843,Education,,23,7,0.3043,2,0.087,1,0.0435,0.7446,1072.48,9,9,1.0
231,,3448,Gaming,,19,4,0.2105,3,0.1579,1,0.0526,0.673,1163.16,8,4,0.5
232,,436,Music,,22,8,0.3636,2,0.0909,1,0.0455,0.6812,1324.18,9,6,0.6667
233,,144,Tech,,19,1,0.0526,1,0.0526,0,0.0,0.6907,1100.58,10,9,0.9
234,,972,Lifestyle,,22,7,0.3182,0,0.0,1,0.0455,0.56,1011.95,9,7,0.7778
235,,2310,Education,,25,11,0.44,1,0.04,0,0.0,0.7821,1104.04,9,1,0.1111
236,,244,Sports,,25,7,0.28,2,0.08,2,0.08,0.8439,1214.2,14,12,0.8571
237,,2301,Education,,24,7,0.2917,1,0.0417,0,0.0,0.7067,1370.42,8,14,1.75
238,,1037,News,,18,9,0.5,3,0.1667,4,0.2222,0.8442,1013.0,9,6,0.6667
239,,2356,Education,,19,5,0.2632,2,0.1053,0,0.0,0.7895,1096.26,11,8,0.7273
240,,758,Lifestyle,,25,13,0.52,2,0.08,1,0.04,0.7323,1299.08,13,9,0.6923
241,,2304,Gaming,,15,3,0.2,1,0.0667,0,0.0,0.7029,969.93,7,2,0.2857
242,,917,Comedy,,23,11,0.4783,2,0.087,1,0.0435,0.6618,1142.22,13,7,0.5385
243,,285,Lifestyle,,20,5,0.25,0,0.0,0,0.0,0.8317,1136.55,6,5,0.8333
244,,904,Comedy,,21,7,0.3333,2,0.0952,0,0.0,0.7857,1046.81,10,8,0.8
245,,2572,Comedy,,15,3,0.2,2,0.1333,1,0.0667,0.7608,1169.4,6,5,0.8333
246,,547,Comedy,,29,4,0.1379,0,0.0,0,0.0,0.8516,1233.24,11,9,0.8182
247,,2539,Music,,18,7,0.3889,2,0.1111,3,0.1667,0.8158,965.06,5,4,0.8
248,,2568,Music,,21,3,0.1429,3,0.1429,3,0.1429,0.8665,1242.95,4,7,1.75
249,,2602,Comedy,,25,6,0.24,2,0.08,1,0.04,0.7358,990.36,13,11,0.8462
250,,843,Comedy,,22,6,0.2727,4,0.1818,0,0.0,0.6613,1136.41,7,7,1.0
251,,2462,Comedy,,25,10,0.4,4,0.16,0,0.0,0.7137,944.72,6,8,1.3333
252,,2934,News,,19,10,0.5263,1,0.0526,1,0.0526,inf,1400.68,11,5,0.4545
253,,2809,Sports,,21,4,0.1905,2,0.0952,2,0.0952,0.8402,1539.43,7,8,1.1429
254,,1460,News,,12,2,0.1667,0,0.0,0,0.0,0.8725,1593.17,3,7,2.3333
255,,2260,Education,,19,5,0.2632,4,0.2105,2,0.1053,0.7755,1070.89,9,3,0.3333
256,,3250,Gaming,,22,10,0.4545,3,0.1364,2,0.0909,0.7428,1457.95,9,7,0.7778
257,,665,Lifestyle,,14,5,0.3571,0,0.0,2,0.1429,0.6697,1059.86,5,3,0.6
258,,678,Comedy,,17,5,0.2941,3,0.1765,0,0.0,0.7978,1417.0,9,2,0.2222
259,,1321,Comedy,,27,9,0.3333,3,0.1111,2,0.0741,0.7075,1300.93,14,7,0.5
260,,1700,Lifestyle,,12,4,0.3333,2,0.1667,1,0.0833,0.5632,1033.5,7,3,0.4286
261,,540,Music,,18,3,0.1667,3,0.1667,2,0.1111,0.9062,1149.39,11,6,0.5455
262,,2151,Comedy,,21,7,0.3333,2,0.0952,0,0.0,0.6976,1236.67,7,11,1.5714
263,,65,Sports,,15,4,0.2667,0,0.0,0,0.0,0.8464,1330.0,4,2,0.5
264,,2609,Sports,,16,5,0.3125,1,0.0625,3,0.1875,0.6407,986.88,4,3,0.75
265,,2581,Education,,26,9,0.3462,6,0.2308,0,0.0,0.7936,1383.46,9,8,0.8889
266,,497,Gaming,,22,5,0.2273,2,0.0909,3,0.1364,0.7932,1148.82,11,2,0.1818
267,,214,Comedy,,23,12,0.5217,2,0.087,0,0.0,0.7907,1091.61,9,7,0.7778
268,,346,Sports,,21,8,0.381,4,0.1905,1,0.0476,0.8579,1145.95,7,5,0.7143
269,,2826,Sports,,18,6,0.3333,1,0.0556,1,0.0556,0.9045,1319.56,5,4,0.8
